ID,LTV,CLTV,Orig_Bal,Orig_Date,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
3085,80,100,492000,11-08-2006,360,7.6,NV,643,Owner Occupied,ARM
232,90,100,490500,16-08-2006,360,10.25,CA,508,Owner Occupied,ARM
2961,90,90,490500,22-08-2006,480,7.65,MD,670,Owner Occupied,ARM
397,72.59,72.59,490000,30-08-2006,360,7.25,MD,534,Owner Occupied,ARM
245,89.97,89.97,489000,14-04-2006,360,7.5,CA,709,Owner Occupied,Fix
3613,80,100,488800,21-08-2006,360,7.35,CA,619,Owner Occupied,ARM
4572,85,85,488750,30-08-2006,480,7.25,NY,607,Owner Occupied,ARM
38,80,100,488000,31-08-2006,360,6.75,CA,628,Owner Occupied,ARM
3269,80,100,488000,22-08-2006,360,7.85,CA,620,Owner Occupied,ARM
3876,80,100,488000,12-09-2006,360,7.75,CA,644,Owner Occupied,ARM
4551,80,100,488000,31-08-2006,360,7.6,CA,660,Owner Occupied,ARM
4871,80,80,488000,08-09-2006,480,8.25,CA,576,Owner Occupied,ARM
4900,80,100,487992,28-08-2006,360,8.5,NV,691,Owner Occupied,ARM
4570,90,90,487800,15-08-2006,360,8.99,CA,561,Owner Occupied,ARM
499,90,90,486000,14-08-2006,480,8.25,CA,661,Owner Occupied,ARM
849,79.93,99.87,486000,01-09-2006,360,7,UT,631,Owner Occupied,ARM
1951,90,90,486000,07-09-2006,480,6.8,NJ,646,Owner Occupied,Fix
3476,80,100,485600,31-08-2006,360,7.75,CA,640,Owner Occupied,ARM
3149,80,100,484800,11-08-2006,480,6.8,CA,676,Owner Occupied,ARM
2635,80,100,484000,31-08-2006,360,6.4,CA,629,Owner Occupied,ARM
3103,80,100,484000,30-08-2006,480,7.5,CA,651,Owner Occupied,ARM
3634,81.86,81.86,483000,25-08-2006,360,8.925,MD,629,Owner Occupied,ARM
2803,75,75,482250,30-08-2006,360,10.7,FL,504,Owner Occupied,ARM
2604,87.64,87.64,482000,30-08-2006,360,7.65,CA,652,Owner Occupied,ARM
239,90,90,481500,23-08-2006,360,7.99,CA,604,Owner Occupied,ARM
560,90,90,481500,28-08-2006,480,8.1,CA,645,Owner Occupied,Fix
459,95,95,480690,31-08-2006,480,10.25,NV,630,Owner Occupied,ARM
540,80,100,480000,23-08-2006,480,8.25,FL,629,Owner Occupied,ARM
557,80,100,480000,06-09-2006,360,9.05,CA,666,Owner Occupied,ARM
566,80,100,480000,14-08-2006,360,8.3,NY,683,Owner Occupied,ARM
733,80,100,480000,14-08-2006,360,8.75,FL,704,Owner Occupied,ARM
2860,80,100,480000,15-08-2006,360,7.55,CA,619,Owner Occupied,ARM
3442,80,100,480000,16-08-2006,360,8.55,CA,691,Owner Occupied,ARM
4025,80,100,480000,01-09-2006,360,8.5,NY,681,Owner Occupied,ARM
4207,80,100,480000,05-09-2006,480,6.9,CA,628,Owner Occupied,ARM
2548,80,100,479200,23-08-2006,360,7.35,CA,640,Owner Occupied,ARM
3382,73.54,73.54,478000,07-09-2006,480,8.15,FL,559,Owner Occupied,ARM
124,90,90,477000,11-08-2006,360,8.8,FL,534,Owner Occupied,ARM
350,90,90,477000,26-07-2006,480,9.25,NY,562,Owner Occupied,ARM
2772,90,90,477000,31-08-2006,360,7.4,CA,644,Owner Occupied,ARM
2135,95,95,476188,24-08-2006,360,9.15,CA,735,Investor Owned,ARM
2215,80,100,476000,29-08-2006,360,8.5,CA,660,Owner Occupied,ARM
3291,80,100,476000,30-08-2006,360,7.25,CA,639,Owner Occupied,ARM
3464,80,100,476000,16-08-2006,480,7.65,CA,690,Owner Occupied,ARM
3594,80,100,476000,24-08-2006,360,7.8,CA,642,Owner Occupied,ARM
4152,80,100,476000,31-08-2006,480,8.6,NY,688,Owner Occupied,ARM
4155,80,100,476000,22-08-2006,480,7.4,CA,723,Owner Occupied,ARM
1019,95,95,475000,31-05-2006,360,8.975,NY,612,Investor Owned,ARM
2012,80,100,473840,22-08-2006,480,7.8,NY,682,Owner Occupied,ARM
1391,95,95,473100,14-07-2006,360,7.15,DE,626,Owner Occupied,ARM
1514,90,90,472500,28-07-2006,360,6.625,IN,694,Owner Occupied,Fix
4771,90,90,472500,07-09-2006,480,7,NV,690,Owner Occupied,Fix
1452,80,100,472000,16-08-2006,360,7.25,CA,663,Owner Occupied,ARM
3158,80,100,472000,31-08-2006,360,7.6,CA,631,Owner Occupied,ARM
1760,80,80,471920,06-09-2006,480,8.2,CA,567,Owner Occupied,ARM
3394,95,100,470250,14-08-2006,360,8.35,CA,652,Owner Occupied,ARM
179,69.22,69.22,470000,16-08-2006,360,8.5,NJ,562,Owner Occupied,ARM
460,81.97,81.97,470000,20-04-2006,360,7.5,FL,665,Owner Occupied,Fix
